side,path,package,classification,target,content_available,methods,fields,static_tokens,empty_blocks,swallowed_catches,packet,asset,risk,imports
CLIENT,core/src/CLib/SysTemFont.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,26,10,2,2,0,NO,NO,MEDIUM,"com.badlogic.gdx.Gdx, com.badlogic.gdx.graphics.Color, com.badlogic.gdx.graphics.g2d.BitmapFont, com.badlogic.gdx.graphics.g2d.GlyphLayout"
CLIENT,core/src/CLib/TField.java,CLib,REPLACE_WITH_FLUTTER,lib/features/*/presentation or lib/shared/widgets,YES,63,49,26,7,0,NO,NO,HIGH,"com.badlogic.gdx.Gdx, com.badlogic.gdx.Input, com.teamobi.mobiarmy2.TemCanvas, com.teamobi.mobiarmy2.TemMidlet"
CLIENT,core/src/CLib/TemGraphics.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,1,0,0,0,NO,NO,LOW,com.badlogic.gdx.graphics.g2d.SpriteBatch
CLIENT,core/src/CLib/mFont.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,19,47,43,3,0,NO,NO,HIGH,
CLIENT,core/src/CLib/mGraphics.java,CLib,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,119,35,20,11,0,NO,YES,MEDIUM,"com.badlogic.gdx.graphics.Pixmap, com.badlogic.gdx.graphics.Texture, com.badlogic.gdx.graphics.g2d.BitmapFont, com.badlogic.gdx.graphics.g2d.SpriteBatch, com.badlogic.gdx.graphics.glutils.ShapeRenderer, com.badlogic.gdx.math.Rectangle, com.badlogic.gdx.math.Vector2, com.badlogic.gdx.scenes.scene2d.utils.ScissorStack"
CLIENT,core/src/CLib/mHashtable.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,9,1,0,0,0,NO,NO,LOW,"java.util.Enumeration, java.util.Hashtable"
CLIENT,core/src/CLib/mImage.java,CLib,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,22,2,19,2,1,YES,YES,HIGH,"java.io.DataInputStream, model.IAction2, network.Command"
CLIENT,core/src/CLib/mSocket.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,10,0,0,0,0,NO,NO,LOW,"java.io.DataInputStream, java.io.DataOutputStream, java.io.IOException, java.net.ConnectException, java.net.Socket, model.CRes"
CLIENT,core/src/CLib/mSound.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,24,12,27,8,0,NO,YES,HIGH,model.CRes
CLIENT,core/src/CLib/mSystem.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,52,25,57,1,0,NO,YES,HIGH,"com.badlogic.gdx.Gdx, com.badlogic.gdx.Net, com.badlogic.gdx.graphics.Color, com.badlogic.gdx.graphics.Pixmap, com.teamobi.mobiarmy2.TemMidlet, coreLG.CCanvas, java.util.Calendar, java.util.Date"
CLIENT,core/src/CLib/mVector.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,18,2,0,0,0,NO,NO,LOW,java.util.Vector
CLIENT,core/src/CLib/myEditText.java,CLib,REPLACE_WITH_FLUTTER,lib/features/*/presentation or lib/shared/widgets,YES,1,1,1,1,0,NO,NO,MEDIUM,
CLIENT,core/src/Debug/Debug.java,Debug,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,14,9,15,8,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, com.badlogic.gdx.Gdx, com.badlogic.gdx.graphics.Pixmap, coreLG.CCanvas, model.Font"
CLIENT,core/src/Equipment/Equip.java,Equipment,MUST_PORT_BEHAVIOR,"lib/features/{equipment,gameplay}",YES,52,39,0,1,0,NO,NO,MEDIUM,"CLib.mGraphics, CLib.mImage, coreLG.TerrainMidlet, java.util.Vector, model.Font, model.Language, model.PlayerInfo, screen.EquipScreen"
CLIENT,core/src/Equipment/EquipGlass.java,Equipment,MUST_PORT_BEHAVIOR,"lib/features/{equipment,gameplay}",YES,4,3,0,0,0,NO,NO,LOW,java.util.Vector
CLIENT,core/src/Equipment/PlayerEquip.java,Equipment,MUST_PORT_BEHAVIOR,"lib/features/{equipment,gameplay}",YES,25,10,10,1,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, java.util.Vector, player.CPlayer"
CLIENT,core/src/Equipment/TypeEquip.java,Equipment,MUST_PORT_BEHAVIOR,"lib/features/{equipment,gameplay}",YES,4,7,5,0,0,NO,NO,LOW,java.util.Vector
CLIENT,core/src/InApp/InAppPurchaseSystem.java,InApp,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/InApp/MainActivity.java,InApp,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,1,4,5,1,0,NO,NO,MEDIUM,
CLIENT,core/src/InApp/PurchaseView.java,InApp,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/InterfaceComponents/ChatTextField.java,InterfaceComponents,REPLACE_WITH_FLUTTER,lib/features/*/presentation or lib/shared/widgets,YES,13,3,3,2,0,NO,NO,MEDIUM,"CLib.TField, CLib.mGraphics, coreLG.CCanvas"
CLIENT,core/src/InterfaceComponents/GamePad.java,InterfaceComponents,REPLACE_WITH_FLUTTER,lib/features/*/presentation or lib/shared/widgets,YES,4,13,2,3,0,NO,NO,MEDIUM,"CLib.mGraphics, CLib.mImage"
CLIENT,core/src/com/teamobi/mobiarmy2/GameMidlet.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,40,46,60,6,2,YES,NO,HIGH,"CLib.RMS, CLib.mGraphics, CLib.mSystem, coreLG.CCanvas, coreLG.CONFIG, java.io.ByteArrayInputStream, java.io.ByteArrayOutputStream, java.io.DataInputStream"
CLIENT,core/src/com/teamobi/mobiarmy2/IActionListener.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,core/src/com/teamobi/mobiarmy2/InAppPurchaseSystem.java,com,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/com/teamobi/mobiarmy2/IosVersion.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,2,0,0,NO,NO,LOW,
CLIENT,core/src/com/teamobi/mobiarmy2/MainActivity.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,1,4,5,1,0,NO,NO,MEDIUM,
CLIENT,core/src/com/teamobi/mobiarmy2/MainClass.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,22,13,10,1,1,NO,YES,HIGH,"CLib.EasingFunction, CLib.Image, CLib.LibSysTem, CLib.mGraphics, CLib.mImage, com.badlogic.gdx.ApplicationAdapter, com.badlogic.gdx.Gdx, com.badlogic.gdx.InputMultiplexer"
CLIENT,core/src/com/teamobi/mobiarmy2/MainGame.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,83,23,15,3,0,YES,NO,HIGH,"CLib.MapKey, CLib.mGraphics, CLib.mSystem, Debug.Debug, com.badlogic.gdx.ApplicationListener, com.badlogic.gdx.Gdx, com.badlogic.gdx.InputMultiplexer, com.badlogic.gdx.InputProcessor"
CLIENT,core/src/com/teamobi/mobiarmy2/MotherCanvas.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,21,18,20,4,0,NO,NO,MEDIUM,"CLib.mGraphics, CLib.mSystem, coreLG.CCanvas, model.CRes"
CLIENT,core/src/com/teamobi/mobiarmy2/MyGdxGame.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,7,6,2,3,0,NO,YES,MEDIUM,"com.badlogic.gdx.ApplicationListener, com.badlogic.gdx.InputMultiplexer, com.badlogic.gdx.graphics.Texture, com.badlogic.gdx.graphics.g2d.SpriteBatch, com.badlogic.gdx.utils.ScreenUtils, model.CRes"
CLIENT,core/src/com/teamobi/mobiarmy2/NativeController.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,core/src/com/teamobi/mobiarmy2/TemCanvas.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,9,6,5,1,0,NO,NO,MEDIUM,"CLib.TemGraphics, CLib.mGraphics, CLib.mSystem, CLib.mVector, coreLG.CCanvas, model.CRes"
CLIENT,core/src/com/teamobi/mobiarmy2/TemMidlet.java,com,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,16,13,22,9,0,YES,NO,HIGH,"CLib.RMS, CLib.mSystem, com.badlogic.gdx.Gdx, network.Message"
CLIENT,core/src/coreLG/CCanvas.java,coreLG,REPLACE_WITH_FLUTTER,lib/features/*/presentation or lib/shared/widgets,YES,150,94,133,8,1,YES,YES,HIGH,"CLib.Image, CLib.RMS, CLib.mGraphics, CLib.mImage, CLib.mSound, CLib.mSystem, Equipment.Equip, Equipment.EquipGlass"
CLIENT,core/src/coreLG/CONFIG.java,coreLG,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,52,52,0,0,NO,NO,HIGH,
CLIENT,core/src/coreLG/SynchronizedData.java,coreLG,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,2,2,0,0,0,NO,NO,LOW,model.IAction
CLIENT,core/src/coreLG/TerrainMidlet.java,coreLG,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,16,13,19,4,1,YES,NO,HIGH,"CLib.RMS, CLib.mSystem, com.badlogic.gdx.Gdx, com.teamobi.mobiarmy2.TemCanvas, java.io.ByteArrayOutputStream, java.io.DataOutputStream, java.io.InputStream, model.CRes"
CLIENT,core/src/effect/Camera.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,49,15,24,0,0,NO,NO,HIGH,"CLib.mGraphics, com.badlogic.gdx.graphics.OrthographicCamera, com.badlogic.gdx.math.Matrix4, coreLG.CCanvas, item.BM, item.Bullet, map.MM, model.CRes"
CLIENT,core/src/effect/Cloud.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,13,7,13,0,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, map.Background, screen.PrepareScr"
CLIENT,core/src/effect/Effect.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,19,2,16,0,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, screen.GameScr"
CLIENT,core/src/effect/Explosion.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,45,31,32,1,1,NO,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, coreLG.CCanvas, coreLG.CONFIG, item.Item, model.CRes, model.FilePack"
CLIENT,core/src/effect/GiftEffect.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,8,3,0,0,0,NO,NO,LOW,"CLib.mGraphics, Equipment.Equip, coreLG.CCanvas, model.Font"
CLIENT,core/src/effect/Smoke.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,87,55,51,1,0,NO,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, coreLG.CCanvas, coreLG.CONFIG, map.MM, model.CRes, model.FilePack"
CLIENT,core/src/effect/SmokeManager.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,17,2,0,1,0,NO,NO,MEDIUM,"CLib.mGraphics, java.util.Vector, model.CRes, screen.GameScr"
CLIENT,core/src/effect/Snow.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,33,7,1,0,0,NO,NO,LOW,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, map.Background, map.MM, screen.GameScr"
CLIENT,core/src/effect/Tornado.java,effect,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/effects,YES,7,4,2,0,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, item.BM, java.util.Random, model.FrameImage"
CLIENT,core/src/item/BM.java,item,MUST_PORT_BEHAVIOR,"lib/features/gameplay/{domain,game/projectile}",YES,76,31,63,1,0,YES,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, Equipment.PlayerEquip, coreLG.CCanvas, effect.Explosion, effect.Tornado, java.util.Vector"
CLIENT,core/src/item/Bullet.java,item,MUST_PORT_BEHAVIOR,"lib/features/gameplay/{domain,game/projectile}",YES,237,89,109,1,0,NO,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, CLib.mSound, CLib.mSystem, Equipment.PlayerEquip, coreLG.CCanvas, coreLG.CONFIG"
CLIENT,core/src/item/Item.java,item,MUST_PORT_BEHAVIOR,"lib/features/gameplay/{domain,game/projectile}",YES,11,62,53,1,1,NO,NO,HIGH,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, model.Font, model.Language, screen.GameScr"
CLIENT,core/src/item/MyItemIcon.java,item,MUST_PORT_BEHAVIOR,"lib/features/gameplay/{domain,game/projectile}",YES,50,11,8,3,0,NO,NO,MEDIUM,"CLib.mGraphics, coreLG.CCanvas, model.CRes, model.Font, model.IAction, screen.CScreen, screen.PrepareScr"
CLIENT,core/src/item/RandomItem.java,item,MUST_PORT_BEHAVIOR,"lib/features/gameplay/{domain,game/projectile}",YES,11,0,1,0,0,NO,YES,MEDIUM,"CLib.mGraphics, CLib.mImage, model.CRes, screen.GameScr"
CLIENT,core/src/javax/microedition/lcdui/Graphics.java,javax,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,1,15,14,0,0,NO,NO,MEDIUM,com.badlogic.gdx.graphics.g2d.SpriteBatch
CLIENT,core/src/javax/microedition/lcdui/Image.java,javax,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,31,8,16,4,3,YES,YES,HIGH,"CLib.LibSysTem, CLib.mSystem, com.badlogic.gdx.Gdx, com.badlogic.gdx.graphics.Color, com.badlogic.gdx.graphics.Pixmap, com.badlogic.gdx.graphics.Texture, com.badlogic.gdx.graphics.TextureData, com.badlogic.gdx.graphics.g2d.Sprite"
CLIENT,core/src/javax/microedition/midlet/MIDlet.java,javax,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,2,0,2,0,0,NO,NO,LOW,"CLib.mSystem, com.badlogic.gdx.Gdx"
CLIENT,core/src/javax/microedition/midlet/MIDletStateChangeException.java,javax,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/lib/Context.java,lib,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/lib/MyStream.java,lib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,1,0,1,0,0,NO,NO,LOW,java.io.InputStream
CLIENT,core/src/lib/TCanvas.java,lib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/lib/mGraphics.java,lib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,38,11,16,5,0,NO,YES,MEDIUM,CLib.mImage
CLIENT,core/src/lib/mSocket.java,lib,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/map/Background.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,46,60,79,3,1,NO,YES,HIGH,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, coreLG.CONFIG, effect.Camera, effect.Snow, model.CRes, model.FilePack"
CLIENT,core/src/map/CMap.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,37,13,21,1,0,NO,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, coreLG.CCanvas, coreLG.CONFIG, model.CRes, model.FilePack, model.IAction2"
CLIENT,core/src/map/HoleInfo.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,0,4,0,0,0,NO,NO,LOW,
CLIENT,core/src/map/MM.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,76,20,24,0,0,YES,YES,HIGH,"CLib.Image, CLib.mGraphics, CLib.mImage, coreLG.CCanvas, effect.Explosion, java.util.Hashtable, java.util.Vector, model.CRes"
CLIENT,core/src/map/MapFile.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,3,9,0,0,0,NO,NO,LOW,
CLIENT,core/src/map/MapImage.java,map,MUST_PORT_BEHAVIOR,lib/features/gameplay/game/map,YES,1,2,0,0,0,NO,YES,MEDIUM,CLib.mImage
CLIENT,core/src/model/AvMain.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,79,130,165,24,1,NO,YES,HIGH,"CLib.mFont, CLib.mGraphics, CLib.mImage, coreLG.CCanvas"
CLIENT,core/src/model/AvatarInfo.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,5,0,0,0,NO,YES,MEDIUM,CLib.Image
CLIENT,core/src/model/BoardInfo.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,8,0,0,0,NO,NO,LOW,
CLIENT,core/src/model/CRes.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,87,30,88,7,3,NO,YES,HIGH,"CLib.Image, CLib.LibSysTem, CLib.RMS, CLib.mImage, com.badlogic.gdx.Gdx, com.badlogic.gdx.graphics.Color, com.badlogic.gdx.graphics.Pixmap, com.badlogic.gdx.graphics.PixmapIO"
CLIENT,core/src/model/CTime.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,17,1,1,0,0,YES,NO,HIGH,"CLib.mGraphics, coreLG.CCanvas, effect.Camera, network.GameService, network.Session_ME, player.PM, screen.CScreen, screen.GameScr"
CLIENT,core/src/model/ChatPopup.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,11,8,2,0,0,NO,NO,LOW,"CLib.mGraphics, CLib.mImage, coreLG.CCanvas, effect.Camera, screen.GameScr"
CLIENT,core/src/model/Clan.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,17,0,0,0,NO,NO,LOW,CLib.mImage
CLIENT,core/src/model/ClanItem.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,6,0,0,0,NO,NO,LOW,
CLIENT,core/src/model/Dialog.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,17,3,0,4,0,YES,NO,HIGH,"CLib.mGraphics, coreLG.CCanvas, network.Command, screen.CScreen"
CLIENT,core/src/model/FilePack.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,27,10,0,1,1,YES,YES,HIGH,"CLib.mImage, com.badlogic.gdx.Gdx, coreLG.CCanvas, java.io.ByteArrayInputStream, java.io.DataInputStream, java.io.EOFException, java.io.IOException, java.io.InputStream"
CLIENT,core/src/model/Fomula.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,7,14,0,2,0,NO,NO,MEDIUM,"CLib.mGraphics, CLib.mImage, Equipment.Equip, coreLG.CCanvas, coreLG.TerrainMidlet"
CLIENT,core/src/model/Font.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,28,22,17,3,0,NO,YES,MEDIUM,"CLib.Image, CLib.mGraphics, CLib.mImage, java.util.Vector"
CLIENT,core/src/model/FrameImage.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,17,8,0,0,0,NO,YES,MEDIUM,"CLib.Image, CLib.mGraphics, CLib.mImage, Debug.Debug, coreLG.CCanvas"
CLIENT,core/src/model/GetString.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,1,2,2,0,0,NO,NO,LOW,java.io.InputStream
CLIENT,core/src/model/Gift.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,6,0,0,0,NO,YES,MEDIUM,CLib.Image
CLIENT,core/src/model/IAction.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,core/src/model/IAction2.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,core/src/model/IActionListener.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,core/src/model/IconManager.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,7,1,0,0,0,NO,YES,MEDIUM,"CLib.Image, java.util.Vector"
CLIENT,core/src/model/ImageIcon.java,model,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,2,2,0,0,0,NO,NO,LOW,CLib.mImage
